CECaseNumber__c,AlarmId__c,RCA_Reason__c,RCA_Comments__c,Delay_Reason__c,Delay_Comments__c,Status,Date_Time_Resolved__c,Material1__c,Material2__c,Material3__c,Material4__c,Material5__c,Material_1_Quantity__c,Material_2_Quantity__c,Material_3_Quantity__c,Material_4_Quantity__c,Material_5_Quantity__c,GIS_Updation_Required__c,GIS_Updated__c,Material_Consumed__c,Customer_TID__c
MUM_170724_221182,,Active,17-Active VSWR alarm15- Area power Fail / 13-Active H/W Issue,Due to traffic on the road,,Closed,17-07-2024 18:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221404,,Active,17-16- vswr 15- Area power Fail / 13-Active H/W Issue,Due to traffic on the road,,Closed,17-07-2024 15:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221320,,Active,17-16- vswr 15- Area power Fail / 13-Active H/W Issue,Due to traffic on the road,,Closed,17-07-2024 14:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221525,,Active,17-16- vswr 15- Area power Fail / 13-Active H/W Issue,Due to traffic on the road,,Closed,17-07-2024 16:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221423,,Active,17-16- vswr 15- Area power Fail / 13-Active H/W Issue,Due to traffic on the road,,Closed,17-07-2024 15:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221552,,Active,17-16- vswr 15- Area power Fail / 13-Active H/W Issue,Due to traffic on the road,,Closed,17-07-2024 18:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_222071,,Active,17-Active VSWR alarm15- Area power Fail / 13-Active H/W Issue,Due to traffic on the road,,Closed,17-07-2024 22:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_222209,,Active,17-16- vswr 15- Area power Fail / 13-Active H/W Issue,Due to traffic on the road,,Closed,18-07-2024 05:13,,,,,,,,,,,False,No,FALSE,
MUM_170724_222208,,Active,17-Active VSWR alarm15- Area power Fail / 13-Active H/W Issue,Due to traffic on the road,,Closed,18-07-2024 05:13,,,,,,,,,,,False,No,FALSE,
MUM_170724_221179,,Active,Active-VSWR,Due to traffic on the road,,Closed,17-07-2024 19:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221171,,Active,Active-VSWR,Due to traffic on the road,,Closed,17-07-2024 19:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221169,,Active,Active-VSWR,Due to traffic on the road,,Closed,17-07-2024 19:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221072,,Power issue,17-15- Power issue at POP Site / 12-09-Area Fail,The EB team is not allowed,,Closed,17-07-2024 19:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221071,,Power issue,17-15- Power issue at POP Site / 12-09-Area Fail,The EB team is not allowed,,Closed,17-07-2024 19:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221070,,Power issue,17-15- Power issue at POP Site / 12-09-Area Fail,The EB team is not allowed,,Closed,17-07-2024 19:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_220627,,Fiber cut,17-Fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 13:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_220623,,Fiber cut,17-Fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 13:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_220622,,Fiber cut,17-Fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 13:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221141,,Fiber cut,18-17- fiber cut 11-Fiber Cut,BMC issue/tree cutting,,Closed,17-07-2024 12:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221797,,Fiber cut,17-16-BMC Fiber Cut / / 03-Fiber cut,BMC issue/tree cutting,,Closed,18-07-2024 00:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221790,,Fiber cut,17-16-BMC Fiber Cut / / 03-Fiber cut,BMC issue/tree cutting,,Closed,18-07-2024 00:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_220712,,Power issue,10- Auto Restored09AREA POWER FAIL,The EB team is not allowed,,Closed,17-07-2024 07:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_220850,,Power issue,10- Auto Restored09AREA POWER FAIL,The EB team is not allowed,,Closed,17-07-2024 09:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_220980,,Power issue,10- Auto Restored09AREA POWER FAIL,The EB team is not allowed,,Closed,17-07-2024 12:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221344,,Power issue,10- Auto Restored09AREA POWER FAIL,The EB team is not allowed,,Closed,17-07-2024 16:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221886,,Power issue,10- Auto Restored09AREA POWER FAIL,The EB team is not allowed,,Closed,17-07-2024 21:12,,,,,,,,,,,False,No,FALSE,
